8,74,5
8,157866,5
8,203538,5
8,219546,5
8,227940,6
8,231812,6
8,242567,7
9,103746,6
12,242141,10
14,9849,5
14,84026,5
14,151849,6
16,44933,9
17,80897,7
17,117908,5
17,204464,6
17,204477,3
19,62700,7
22,254118,7
26,91566,10
26,95514,9
32,4005,8
39,122348,8
39,142178,7
42,122337,7
44,87253,8
51,87369,9
53,7016,3
53,23286,10
53,26905,6
53,64411,9
56,137222,7
56,146252,9
64,248038,7
67,74745,7
69,238590,8
70,218118,10
73,7720,5
75,222271,5
78,75678,8
81,61220,5
82,215849,10
83,196300,7
85,41344,5
86,7479,4
87,13050,8
87,61850,8
88,114365,7
91,38905,9
92,267084,7
92,267091,8
92,267092,10
97,141551,7
99,32981,8
99,33079,8
99,38878,7
99,68660,6
99,94376,10
99,99619,3
99,119674,9
99,137181,10
102,267597,7
107,141504,8
109,135888,5
110,87185,6
114,36293,7
114,93848,9
114,94058,9
114,94065,8
114,101197,8
114,122420,9
114,133620,10
114,182396,5
125,143653,10
129,38843,7
133,44248,10
141,190544,10
162,101034,5
165,8362,9
165,10413,4
165,94058,5
169,93449,7
176,245522,4
178,102068,6
183,248213,8
183,264054,9
183,266792,7
183,267622,9
183,267874,8
185,65884,10
190,387,7
202,17870,6
212,6640,8
215,8997,6
217,17843,8
224,93193,8
226,135191,8
228,69944,7
228,76959,9
230,101112,6
232,106597,8
232,133369,4
232,134162,6
232,135650,6
242,118580,10
242,252547,10
242,252899,9
242,252923,10
242,252931,8
242,252932,10
242,252933,9
242,252943,10
242,252954,10
242,252957,10
242,252968,9
242,252994,7
242,253206,9
242,254493,10
242,257984,7
242,258822,8
242,259138,8
242,259217,7
242,259396,9
242,260799,10
242,261237,6
242,261812,7
243,7066,10
243,8388,7
243,18141,6
243,38655,9
243,38932,9
243,39171,7
243,60932,10
243,69479,6
243,71169,7
243,82118,9
243,87737,7
243,92275,9
243,93722,6
243,95547,6
243,122186,8
243,170325,5
243,174420,5
243,222597,5
244,8388,7
244,8433,8
244,22020,9
244,62059,8
244,113204,9
244,175188,8
244,222597,6
244,222631,6
247,83715,7
254,5538,7
254,7623,9
254,8368,7
254,11999,7
254,12320,5
254,21431,9
254,35141,9
254,47630,5
254,51477,5
254,53232,6
254,53240,5
254,53765,5
254,53768,4
254,58207,5
254,59262,7
254,59267,6
254,59584,8
254,59588,9
254,59717,7
254,62527,9
254,63012,9
254,63013,9
254,64926,8
254,66197,10
254,66934,7
254,67130,8
254,67484,10
254,67486,9
254,67494,9
254,67643,8
254,67704,8
254,78381,9
254,83952,9
254,83953,9
254,84174,9
254,84175,9
254,84195,9
254,91804,5
254,99630,8
254,101794,6
254,102004,7
254,103053,9
254,103138,8
254,117837,8
254,118681,8
254,125459,9
254,130304,9
254,130305,8
254,133331,7
254,146385,8
254,146704,7
254,220659,9
254,225488,9
254,225525,9
254,227766,8
254,229191,9
254,246189,9
256,87632,9
256,87737,8
257,230965,8
257,238648,8
272,8386,7
272,111332,7
272,132053,7
272,196977,8
273,137784,6
278,126460,6
280,38905,7
289,11969,7
289,121615,6
291,216865,9
300,36622,5
300,45580,5
300,64851,5
300,67150,5
300,98308,9
300,119177,5
300,133223,5
300,181644,5
302,37480,4
310,268367,7
313,69396,8
323,232099,5
326,147055,10
332,64909,6
334,231074,8
337,270764,9
339,104471,8
345,136201,6
356,64837,7
361,266225,8
361,268631,4
362,93710,7
367,95514,9
372,261693,8
376,11229,7
376,141445,5
383,67082,10
383,70044,10
383,80871,5
383,110717,10
383,158480,5
383,204529,5
383,242312,5
387,25261,2
387,52528,6
